Author_Name,Affiliation
Aarsnes U.J.,"Norce, Norway"
Abaimov S.,"Center for Design, Manufacturing and Materials, Skolkovo Institute of Science and Technology, Russian Federation"
Abildskov T.J.,"Department of Psychology and Neuroscience, Brigham Young University, Provo, UT, United States"
Abliz D.,"Department of Polymer Materials and Plastics Engineering, Technische Universität Clausthal, Germany"
Abraham Martin R.,"Brigham Young University, 350 Clyde Building, Provo, UT, United States"
Abut F.,"Department of Computer Engineering, Faculty of Engineering, Adana Alparslan Türkeş Science and Technology University, Adana, Turkey"
Ackerman W.,"Brigham Young University, United States"
Adams B.,"Dept of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Adams B.R.,"Brigham Young University, Mechanical Engineering Department, Provo, UT  84602, United States"
Adams D.,"Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Adams D.W.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Adams J.A.,"Oregon State University, United States"
Adams M.R.,"Brigham Young University, Provo, UT, United States"
Adamson M.,"Fehr Peers Transportation Consultants, Tacoma, WA, United States"
Adidharma H.,"Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States"
Advani S.G.,"Department of Mechanical Engineering and Center for Composite Materials, University of Delaware, United States"
Afran M.S.,"University of Texas at Dallas, Richardson, TX, United States"
Aghito M.,"SINTEF, Trondheim, Norway"
Ahmad W.,"Lafayette College, Easton, PA  18042, United States"
Ahn E.-Y.,"School of Mechanical Engineering, University of Ulsan, Ulsan, South Korea"
Ahrens J.,"Los Alamos National Laboratory, Los Alamos, United States"
Akagi J.,"Department of Mechanical Engineering, Brigham Young University, United States"
Akamine M.,"Dept. of Advanced Energy, Graduate School of Frontier Sciences, University of Tokyo, Kashiwa, Chiba  277-8561, Japan"
Akay M.F.,"Dept of Comp Eng, Çukurova University, Adana, Turkey"
Akhatov I.,"Center for Design, Manufacturing and Materials, Skolkovo Institute of Science and Technology, Russian Federation"
Aktas A.,"Materials Division, National Physical Laboratory, United Kingdom"
Alanoly J.,"Ford Motor Company, United States"
Alcock C.,"Harvard-Smithsonian Center for Astrophysics, Cambridge, MA, United States"
Alder C.K.,"Department of Computer Science, Brigham Young University, Provo, UT  84602, United States"
Aldous P.,"Brigham Young University, Provo, UT  84601, United States"
Alejandro A.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Alfson K.J.,"Department of Virology and Immunology, Texas Biomedical Research Institute, 7620 NW Loop 410, San Antonio, TX  78227, United States"
Ali M.A.,"Khalifa University of Science and Technology (KUST), Abu Dhabi, United Arab Emirates"
Alin F.,"CReSTIC Laboratory EA3804, University of Reims Champagne-Ardenne, France"
Allen B.C.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Allen B.L.,"United States Department of Agriculture-Agricultural Research Service, Sidney, MT, United States"
Allen D.,"Computer Science Department, Brigham Young University, United States"
Allen G.N.,"Marriott School of Management, Brigham Young University, Provo, UT, United States"
Allen J.D.,"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States"
Allen J.T.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Allen M.,"Department of Mathematics, Brigham Young University, Provo, UT  84602, United States"
Allen Q.S.,"Department of Mechanical Engineering, Brigham Young University, 435 CTB ProvoUT  84604, United States"
Allen T.D.,"Centre for Advanced Composite Materials, University of Auckland, New Zealand"
Allen T.F.,"Pneubotics, San Francisco, CA  94110, United States"
Allender E.J.,"School of Earth and Environmental Sciences, University of St Andrews, St Andrews, United Kingdom"
Allred D.,"Department of Phys and Astronomy, Brigham Young University, Provo, UT, United States"
Allred D.D.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Almeida N.V.,"Planetary Materials Group, Department of Earth Sciences, Natural History Museum, London, United Kingdom"
Alvarez E.J.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT  84602, United States"
Amare N.,"Department of English, University of South Alabama, Mobile, AL  36688, United States"
Ames D.C.,"Brigham Young University, Engineering Building, Provo, UT  84602, United States"
Ames D.P.,"Dept. of Civil and Environmental Engineering, Brigham Young Univ., 368 Clyde Bldg., Provo, UT  84602, United States"
Amin M.N.,"School of Engineering, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA  95064, United States"
