TitleID,Authors,Title,Source title,Proceeding,Volume,Paper Area,Type,Conference Type,Paper Type,Approval,Chair_or_Editor1,Chair_or_Editor2
0,"Gautam A., Crandall J.W., Goodrich M.A.",Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,Proceedings of the ASME Design Engineering Technical Conference,1210 AISC,,Drones; Human engineering; Intelligent systems; Real time systems; Security of data; Autonomous systems; Causal relationships; Decision mechanism; Dependency graphs; Real-time application; Self assessment; Social robots,Conference,Regular Conference,Full Paper,Yes,Chair 1,Chair 2
1,"de Moura Oliveira P.B., Hedengren J.D., Boaventura-Cunha J.",Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,Proceedings of the ASME Design Engineering Technical Conference,695 LNEE,,"Automation; Cascade control systems; Computation theory; Process control; Soft computing; Students; Cascade control; Cascade control structure; Control concept; Control techniques; Engineering course; Proportional , integral and derivative controllers; Teaching/learning; Theory and practice; Control theory",Conference,Regular Conference,Full Paper,Yes,Chair 1,Chair 2
2,"Hajimirzaie S.M., Hotchkiss R.H.",Development of sediment management guidelines for small to medium reservoirs,IEEE Transactions on Antennas and Propagation,,146,Hydraulics; Editorial board; Sediment management; Reservoir management; guideline; reservoir; sediment; Databases,Journal,,Short Paper,Yes,Editor 1,Editor 2
3,"Bunnell S., Gorrell S., Salmon J., Thelin C., Ruoti C.",Structural design space exploration using principal component analysis,Proceedings of the ASME Design Engineering Technical Conference,20,,Compressors; Data handling; Structural design; Compressor blades; Computational costs; Design space exploration; Design variations; Geometric variations; Principal Components; Stress variations; Two-point correlation; Machine design; Machine learning,Conference,Regular Conference,Poster,Yes,Chair 1,Chair 2
4,"Richardson M., Cannon S., Teichert L., Vance A., Kramer I., Barter M., King J., Callahan C.",Religion-focused dating apps: A Q methodology study on the uses of mutual,IEEE Transactions on Antennas and Propagation,,,Entertainment; A-RINGS; External pressures; Romantic relationship; User motivation; Motivation; Machine learning,Journal,,Demo Paper,No,Editor 1,Editor 2
5,"Stanković A.M., Sarić A.A., Sarić A.T., Transtrum M.K.",Interleaving physics- and data-driven models for power system transient dynamics,Optics InfoBase Conference Papers,189,,Asynchronous generators; Compressed sensing; Computation theory; Computational geometry; Dynamic loads; Dynamics; Electric fault currents; Large scale systems; Computational data; Computational differential geometry; Doubly fed induction generators; Information geometry; Large-scale power systems; Power system transients; Transient phenomenon; Two-step procedure; Electric machine theory; Natural language processing,Conference,Symposium,Short Paper,Yes,Chair 3,Chair 4
6,"Hackney D., Goode T., Seng F., Pankow M., Schultz S., Peters K.",Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,Optics InfoBase Conference Papers,60,,Ballistics; Coatings; Fiber optic sensors; Fibers; Impact testing; Weaving; Backing materials; Ballistic impact testing; Ballistic Protection; Fiber Bragg Grating Sensors; High-velocity impact; Repeated impact; Strain information; Strain response; Fiber Bragg gratings,Conference,Symposium,Demo Paper,Yes,Chair 3,Chair 4
7,"Coburn J., Salmon J., Freeman I.",The effects of transition style for collaborative view sharing in immersive Virtual Reality,Optics InfoBase Conference Papers,,,Economic and social effects; Location; Collaborative environments; Design environment; Immersive virtual environments; Immersive virtual reality; Location identification; Multiple transitions; Specific component; View locations; Virtual reality,Conference,Symposium,Full Paper,No,Chair 3,Chair 4
8,"Švenda V.G., Stanković A.M., Sarić A.T., Transtrum M.K.",Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,IEEE Transactions on Nuclear Science,,122,Cyber Physical System; Embedded systems; Frequency estimation; State estimation; Bad data detections; Cyber physical systems (CPSs); Hybrid state estimation; Information and Communication Technologies; Measuring instruments; Network observability; Probabilistic extension; Realistic communication; Phasor measurement units; Machine learning,Journal,,Full Paper,Yes,Editor 3,Editor 4
9,"Walker Z., Wells T., Lay K., Sampad M.J.N., Schmidt H., Hawkins A.",Solid-state membranes formed on natural menisci,Proceedings of SPIE - The International Society for Optical Engineering,31,,Etching; Photoresists; Polymers; Capillary action; Chemical vapor deposited; Nanoscale solids; Natural shapes; Sacrificial etching; Silicon substrates; Solid-state membranes; Suspended membranes; Membranes,Conference,Expert Group,Demo Paper,Yes,Chair 5,Chair 6
10,"Wu F., Zhou Z., Temizel-Sekeryan S., Ghamkhar R., Hicks A.L.",Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,IEEE Transactions on Nuclear Science,,270,Amines; Carbon dioxide; Carbon nanotubes; Climate change; Energy utilization; Environmental technology; Ethanolamines; Investments; Life cycle; Specific heat; Adsorption/desorption; Covalently bonded; High temperature; Industrial methods; Material synthesis; Monoethanolamine; Polyethyleneimine; Preparation phasis; Environmental impact; Databases,Journal,,Full Paper,Yes,Editor 3,Editor 4
