Year,DOI,Affiliations,Authors with affiliations,Abstract,Author Keywords,Page,Edition,Co-Author,City,Cite
2021,10.1007/978-3-030-51758-8_15,"Computer Science Department, Brigham Young University, Provo, UT  84604, United States","Gautam, A., Computer Science Department, Brigham Young University, Provo, UT  84604, United States; Crandall, J.W., Computer Science Department, Brigham Young University, Provo, UT  84604, United States; Goodrich, M.A., Computer Science Department, Brigham Young University, Provo, UT  84604, United States","Autonomous systems, although capable of performing complicated tasks much faster than humans, are brittle due to uncertainties encountered in most real-time applications. People supervising these systems often rely on information relayed by the system to make any decisions, which places a burden on the system to self-assess its proficiency and communicate the relevant information. Proficiency self-assessment benefits from an understanding of how well the models and decision mechanisms used by robot align with the world and a problem holder’s goals. This paper makes three contributions: (1) Identifying the importance of goal, system, and environment for proficiency assessment; (2) Completing the phrase “proficient ‹preposition›” using an understanding of proficiency span; and (3) Proposing the proficiency dependency graph to represent causal relationships that contribute to failures, which highlights how one can reason about their own proficiency given alterations in goal, system, and environment. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.",Environment; Goal(s); Intelligent agents; Proficiency; Self-assessment; System,5,5,Gautam A.,Barcelona,316;110;646;638;391;67;660;160;483;366;25;710;393;380
2021,10.1007/978-3-030-58653-9_3,"INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal; Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal; Department of Chemical Engineering, Brigham Young University, Provo, UT, United States","de Moura Oliveira, P.B., INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal, Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal; Hedengren, J.D., Department of Chemical Engineering, Brigham Young University, Provo, UT, United States; Boaventura-Cunha, J., INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal, Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal","Practice is of the essence in Engineering courses. A relevant question in control engineering education is: How to close the gap between theory and practice? Once subjects are introduced in theoretical classes, students want to know about its practical use. Thus, it is important to introduce theoretical control concepts with practical experiments, enabling students to easily test and validate the theory. An Arduino based temperature control laboratory (TCLab) is deployed in this study as a portable kit providing students with a simple and effective means to test some feedback control techniques. Teaching/learning experiments are proposed involving proportional, integral and derivative controllers with Feedforward and Cascade control structures. Preliminary results achieved in a Portuguese university are presented. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2021.",,9,5,de Moura Oliveira P.B.,Barcelona,242;289;545;713;403;278
2020,10.1061/(ASCE)HY.1943-7900.0001822,"Task Committee Secretary and Lead Engineer, Operational Hydraulics Unit, Hydrology and Hydraulics (HandH) Bureau, South Florida Water Management District, 3301 Gun Club Rd., West Palm Beach, FL  33406, United States; Dept. of Civil and Environmental Engineering, Brigham Young Univ., 430 Engineering Bldg., Provo, UT  84602, United States","Hajimirzaie, S.M., Task Committee Secretary and Lead Engineer, Operational Hydraulics Unit, Hydrology and Hydraulics (HandH) Bureau, South Florida Water Management District, 3301 Gun Club Rd., West Palm Beach, FL  33406, United States; Hotchkiss, R.H., Dept. of Civil and Environmental Engineering, Brigham Young Univ., 430 Engineering Bldg., Provo, UT  84602, United States","Forum papers are thought-provoking opinion pieces or essays founded in fact, sometimes containing speculation, on a civil engineering topic of general interest and relevance to the readership of the journal. The views expressed in this Forum article do not necessarily reflect the views of ASCE or the Editorial Board of the journal. © 2020 American Society of Civil Engineers.",,,,Hajimirzaie S.M.,,833;699;471;188;481;548;237;715;231;32;734;138;120
2020,10.1115/1.4047428,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States; Pratt and Whitney, East Hartford, CT  06118, United States","Bunnell, S., Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States; Gorrell, S., Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States; Salmon, J., Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States; Thelin, C., Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States; Ruoti, C., Pratt and Whitney, East Hartford, CT  06118, United States","Design space exploration (DSE) is the process whereby a designer seeks to understand some results across a set of design variations. Structural DSE of turbomachinery compressor blades is often challenging because the large number of design variables make it difficult to learn the effect that each variable has upon the stress contours. Principal component analysis (PCA) of the stress contours is used as a way to understand how the stress contours change over the design space. Two methods are introduced to address the challenge of understanding how the stress changes over a large number of variables. First, a two-point correlation is applied to relate the design variables to the scores of each principal component. Second, a coupling of the stress and coordinate location of each node in PCA is developed which also indicates how the stress variations relate to geometric variations. These provide insight to how design variables influence the stress. It is shown how these methods use PCA as DSE tools to better explore the structural design space of compressor blades. Better DSE can improve compressor blades and the computational cost needed for their design. Copyright © 2020 by ASME",Computer-aided engineering; Data-driven engineering,,4,Bunnell S.,Delhi,369;446;545;311;666;131;619;581;843;447;16;85;846;231;662;433;252;259;584;380
2020,10.1016/j.tele.2020.101448,"School of Communications, Brigham Young University, United States; Department of Communication, University of California, Santa Barbara, United States","Richardson, M., School of Communications, Brigham Young University, United States; Cannon, S., School of Communications, Brigham Young University, United States; Teichert, L., School of Communications, Brigham Young University, United States; Vance, A., School of Communications, Brigham Young University, United States; Kramer, I., School of Communications, Brigham Young University, United States; Barter, M., School of Communications, Brigham Young University, United States; King, J., Department of Communication, University of California, Santa Barbara, United States; Callahan, C., School of Communications, Brigham Young University, United States","Dating apps have become an increasingly viable option for individuals seeking interpersonal romantic relationships. While there is significant research regarding user motivation on dating apps such as Bumble, Tinder, and Match.com, there is no published research that discusses the motivations of Mutual app users. Developed as a dating app to target members of The Church of Jesus Christ of Latter-Day Saints, Mutual allows users to find potential mates who share their religious background and specify their relationship readiness (from “Into Dating I Guess” to “Ready for a Ring”). This research aims to illuminate the various motivations, attitudes, and opinions of Mutual app users through Q methodology, which identifies perceptual groups among homogeneous populations through a factor analysis of participants’ agreement with similar statements regarding Mutual use. Findings indicated four factor groups: the Relationship Readies (i.e., those serious about dating), the Swipeaholics (i.e., those looking for entertainment), the Faithless (i.e., those who felt pressured to use Mutual), and the Eligible Optimists (i.e., those who saw the app as a convenient, entertaining way to date). Different from other research on dating apps, this study indicates that people may use a niche religion-focused dating app to find individuals with similar moral values or due to external pressure from others. Results warrant further investigation into niche dating apps. © 2020 Elsevier Ltd",Dating; Emerging adults; Mobile phones; Uses and gratifications,,,Richardson M.,,130;473;794;576;149;792;435;98;53;807;363;57;467;483;48
2020,10.1016/j.epsr.2020.106824,"Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States; Dept. of Power, Electronics and Com. Eng., Faculty of Technical Sciences, Novi Sad, Serbia; Dept. of Physics and Astronomy, Brigham Young University, Provo, UT, United States","Stanković, A.M., Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States; Sarić, A.A., Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States; Sarić, A.T., Dept. of Power, Electronics and Com. Eng., Faculty of Technical Sciences, Novi Sad, Serbia; Transtrum, M.K., Dept. of Physics and Astronomy, Brigham Young University, Provo, UT, United States","The paper explores interleaved and coordinated refinement of physics- and data-driven models in describing transient phenomena in large-scale power systems. We develop and study an integrated analytical and computational data-driven gray box environment needed to achieve this aim. Main ingredients include computational differential geometry-based model reduction, optimization-based compressed sensing, and a finite approximation of the Koopman operator. The proposed two-step procedure (the model reduction by differential geometric (information geometry) tools, and data refinement by the compressed sensing and Koopman theory based dynamics prediction) is illustrated on the multi-machine benchmark example of IEEE 14-bus system with renewable sources, where the results are shown for doubly-fed induction generator (DFIG) with local measurements in the connection point. The algorithm is directly applicable to identification of other dynamic components (for example, dynamic loads). © 2020 Elsevier B.V.",Compressed sensing; Data-driven models; Koopman modes; Modeling; Physics-based models; Power system dynamics,,4,Stanković A.M.,Rome,136;536;188;607;441;753;58;382;749;432;515;380
2020,10.1016/j.yofte.2020.102356,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States; Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States","Hackney, D., North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States; Goode, T., North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States; Seng, F., Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States; Pankow, M., North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States; Schultz, S., Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States; Peters, K., North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States","This research demonstrates that fiber Bragg grating (FBG) strain sensors can survive and provide useful strain information when integrated into a woven fabric subjected to ballistic impact testing. In this work, FBGs were integrated into a single-layer, Kevlar® fabric, sensing mat, placed between a 30-layer Kevlar® fabric shoot pack and clay backing material, and then impacted with an 8.23 g, 12.69 mm diameter, steel ball bearing at velocities up to 285 m/s. Three different optical fiber types, with differing fiber coatings and fiber diameters, were tested. The FBG strain response was determined from the full-spectrum FBG response which was interrogated at 100 kHz throughout the impact event. The difference in FBG strain response for the different coatings and fiber diameters were compared. Additionally, the degradation of the coatings after repeated impacts were visually characterized, showing that smaller diameter fibers behaved better with a more elastic coating. © 2020 Elsevier Inc.",Back face deformation; Ballistic impact; Body armor; Fiber Bragg grating; Kevlar,,4,Hackney D.,Rome,701;465;660;834;329;347;363;288;198;437;81;730
2020,10.1016/j.cag.2020.08.003,"Brigham Young University, Provo, UT  84602, United States","Coburn, J., Brigham Young University, Provo, UT  84602, United States; Salmon, J., Brigham Young University, Provo, UT  84602, United States; Freeman, I., Brigham Young University, Provo, UT  84602, United States","New low-cost Virtual Reality (VR) technology is enabling large numbers of engineers and designers to be outfitted with VR tools. This, in turn, is making feasible new tools such as immersive, collaborative, design environments that reflect the collaborative environment of drafting tables while still providing all the power of modern, computer-based, design tools. However, before such an environment can be fully realized, basic issues surrounding collaboration in VR such as cybersickness and disorientation must be more fully addressed. This work presents the results of an experimental study conducted to characterize the trade-offs between different styles of transitioning collaborators to a shared view in an immersive virtual environment. The experimental task consisted of asking participants to identify in which quadrant of the car specific components were located. Quadrant identification was performed after a participant's virtual location was transitioned to a shared view location focused on the component to identify. The study was conducted with 45 participants who provided 1890 transition response datapoints. Analysis of these results suggests that, in many cases, collaborators are willing to experience some mild cybersickness in order to reduce their disorientation and improve both confidence and accuracy of component location identification. The results also support the recommendation that the best practice is to provide support for multiple transition styles and allow collaborators to select their preference. © 2020 Elsevier Ltd",Collaboration; Cybersickness; Immersive; Spatial awareness; Viewpoint; Viewpoint sharing; Virtual Reality,10,4,Coburn J.,Rome,568;663;134;513;372;225;110;862;259;446;359;474;549;395;464;238;173;77;866
2020,10.1016/j.ijepes.2020.106179,"Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Department of Power, Electronic and Communication Eng., University of Novi Sad, Novi Sad, Serbia; Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States","Švenda, V.G., Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Stanković, A.M., Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Sarić, A.T., Department of Power, Electronic and Communication Eng., University of Novi Sad, Novi Sad, Serbia; Transtrum, M.K., Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States","This paper proposes a probabilistic extension to flexible hybrid state estimation (FHSE) for cyber-physical systems (CPSs). The main goal of the algorithm is improvement of the system state tracking when realistic communications are taken into account, by optimizing information and communication technology (ICT) usage. These advancements result in: 1) coping with ICT outages and inevitable irregularities (delay, packet drop and bad measurements); 2) determining the optimized state estimation execution frequencies based on expected measurement refresh times. Additionally, information about CPSs is gathered from both the phasor measurement units (PMU) and SCADA-based measurements. This measurement transfer introduces two network observability types, which split the system into observable (White) and unobservable (Grey) areas, based on 1) deployed measuring instruments (MIs) and 2) received measurements. A two-step bad data detection (BDD) method is introduced for ICT irregularities and outages. The proposed algorithm benefits are shown on two IEEE test cases with time-varying load/generation: 14-bus and 300-bus. © 2020 Elsevier Ltd",Co-simulation; Cyber-physical systems; ICT irregularities; Probabilistic observability; State estimation,,,Švenda V.G.,,831
2020,10.1088/1361-6528/aba711,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States; School of Engineering, University of California, Santa Cruz, CA, United States","Walker, Z., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States; Wells, T., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States; Lay, K., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States; Sampad, M.J.N., School of Engineering, University of California, Santa Cruz, CA, United States; Schmidt, H., School of Engineering, University of California, Santa Cruz, CA, United States; Hawkins, A., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States","We present a method to create robust, nanoscale solid-state membranes using the natural shape of a liquid meniscus as a template. A narrow, open channel is etched into a silicon substrate and then a photoresist polymer is introduced into the channel through spontaneous capillary action. The natural concave meniscus formed by the polymer is then covered by a thin chemical vapor deposited membrane. The polymer is removed by sacrificial etching, leaving behind a suspended membrane. Membranes as large as 20 μm by 9 mm can be fabricated with a thickness as low as 50 nm. © 2020 IOP Publishing Ltd.",biosensors; membrane; microfabrication; microfluidics; nanopores,,4,Walker Z.,New York,871;2;86;722;886;431;832;533;823;474;435;584;78;470;807;246;333;115;227;124
