Source title,Year,Type,Edition,Authors_list,TitleID,Title,Decision,Approval,Reviewer,Review_Text,Who_Assign
Proceedings of the ASME Design Engineering Technical Conference,2021,Conference,5.0,"['Gautam A.', ' Crandall J.W.', ' Goodrich M.A.']",0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,1,Yes, Warnick K.F.,Excellent,Chair 1
Proceedings of the ASME Design Engineering Technical Conference,2021,Conference,5.0,"['Gautam A.', ' Crandall J.W.', ' Goodrich M.A.']",0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,1,Yes, Zappala D.,Great,Chair 2
Proceedings of the ASME Design Engineering Technical Conference,2021,Conference,5.0,"['Gautam A.', ' Crandall J.W.', ' Goodrich M.A.']",0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,0,Yes, Seamons K.,Need Major Revision,Chair 2
Proceedings of the ASME Design Engineering Technical Conference,2021,Conference,5.0,"['de Moura Oliveira P.B.', ' Hedengren J.D.', ' Boaventura-Cunha J.']",1,Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,1,Yes, Warnick K.F.,Sound Work,Chair 1
Proceedings of the ASME Design Engineering Technical Conference,2021,Conference,5.0,"['de Moura Oliveira P.B.', ' Hedengren J.D.', ' Boaventura-Cunha J.']",1,Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,1,Yes, Hawkins A.R.,Excellent,Chair 1
Proceedings of the ASME Design Engineering Technical Conference,2021,Conference,5.0,"['de Moura Oliveira P.B.', ' Hedengren J.D.', ' Boaventura-Cunha J.']",1,Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,1,Yes, Salmon J.L.,Great,Chair 1
IEEE Transactions on Antennas and Propagation,2020,Journal,,"['Hajimirzaie S.M.', ' Hotchkiss R.H.']",2,Development of sediment management guidelines for small to medium reservoirs,1,Yes, Howell L.L.,Great,Editor 1
IEEE Transactions on Antennas and Propagation,2020,Journal,,"['Hajimirzaie S.M.', ' Hotchkiss R.H.']",2,Development of sediment management guidelines for small to medium reservoirs,1,Yes, Zappala D.,Great,Editor 2
IEEE Transactions on Antennas and Propagation,2020,Journal,,"['Hajimirzaie S.M.', ' Hotchkiss R.H.']",2,Development of sediment management guidelines for small to medium reservoirs,1,Yes, Warnick K.F.,Sound Work,Editor 1
Proceedings of the ASME Design Engineering Technical Conference,2020,Conference,4.0,"['Bunnell S.', ' Gorrell S.', ' Salmon J.', ' Thelin C.', ' Ruoti C.']",3,Structural design space exploration using principal component analysis,1,Yes, Fletcher T.H.,Sound Work,Chair 1
