Title,Keywords
Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,Drones; Human engineering; Intelligent systems; Real time systems; Security of data; Autonomous systems; Causal relationships; Decision mechanism; Dependency graphs; Real-time application; Self assessment; Social robots
Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,"Automation; Cascade control systems; Computation theory; Process control; Soft computing; Students; Cascade control; Cascade control structure; Control concept; Control techniques; Engineering course; Proportional , integral and derivative controllers; Teaching/learning; Theory and practice; Control theory"
Development of sediment management guidelines for small to medium reservoirs,Hydraulics; Editorial board; Sediment management; Reservoir management; guideline; reservoir; sediment
Structural design space exploration using principal component analysis,Compressors; Data handling; Structural design; Compressor blades; Computational costs; Design space exploration; Design variations; Geometric variations; Principal Components; Stress variations; Two-point correlation; Machine design
Religion-focused dating apps: A Q methodology study on the uses of mutual,Entertainment; A-RINGS; External pressures; Romantic relationship; User motivation; Motivation
Interleaving physics- and data-driven models for power system transient dynamics,Asynchronous generators; Compressed sensing; Computation theory; Computational geometry; Dynamic loads; Dynamics; Electric fault currents; Large scale systems; Computational data; Computational differential geometry; Doubly fed induction generators; Information geometry; Large-scale power systems; Power system transients; Transient phenomenon; Two-step procedure; Electric machine theory
Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,Ballistics; Coatings; Fiber optic sensors; Fibers; Impact testing; Weaving; Backing materials; Ballistic impact testing; Ballistic Protection; Fiber Bragg Grating Sensors; High-velocity impact; Repeated impact; Strain information; Strain response; Fiber Bragg gratings
The effects of transition style for collaborative view sharing in immersive Virtual Reality,Economic and social effects; Location; Collaborative environments; Design environment; Immersive virtual environments; Immersive virtual reality; Location identification; Multiple transitions; Specific component; View locations; Virtual reality
Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,Cyber Physical System; Embedded systems; Frequency estimation; State estimation; Bad data detections; Cyber physical systems (CPSs); Hybrid state estimation; Information and Communication Technologies; Measuring instruments; Network observability; Probabilistic extension; Realistic communication; Phasor measurement units
Solid-state membranes formed on natural menisci,Etching; Photoresists; Polymers; Capillary action; Chemical vapor deposited; Nanoscale solids; Natural shapes; Sacrificial etching; Silicon substrates; Solid-state membranes; Suspended membranes; Membranes
Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,Amines; Carbon dioxide; Carbon nanotubes; Climate change; Energy utilization; Environmental technology; Ethanolamines; Investments; Life cycle; Specific heat; Adsorption/desorption; Covalently bonded; High temperature; Industrial methods; Material synthesis; Monoethanolamine; Polyethyleneimine; Preparation phasis; Environmental impact
Investigating steel tool life in the RFSSW process,Aerospace industry; Aluminum alloys; Aluminum coated steel; Automotive industry; Cleaning; Spot welding; Thermocouples; Tool steel; Welds; Effective tool; Friction stir spot welding; High temperature; Steel tools; Thin sheet; Tool materials; Tool surfaces; Weld temperature; Friction stir welding
